u,g,r,i,z,redshift,object_class
25.38777,23.15303,21.51237,20.46363,19.71443,0.5979346,GALAXY
21.57953,20.13783,19.56328,19.30896,19.1557,0.0004753596,STAR
22.03832,20.41368,18.70809,18.09373,17.81044,0.3078149,GALAXY
21.95162,22.34223,21.87719,21.554,20.93653,0.8873914,QSO
20.16646,18.88719,18.38581,18.16832,18.0872,-0.0004453017,STAR
26.60599,22.10225,20.31792,19.45525,18.85163,0.5298299,GALAXY
23.64579,22.31584,21.7742,21.25954,21.00235,5.423223,QSO
22.52874,21.64296,19.81395,19.08389,18.63693,0.4320475,GALAXY
19.88222,19.67099,19.39375,19.26177,19.16288,1.105112,QSO
21.37179,18.8954,17.42231,16.39404,15.82651,-6.824205e-05,STAR
21.72786,20.77729,20.66797,20.69293,20.52391,2.473758,QSO
22.01398,21.78409,22.13973,21.74536,21.0797,-0.0001939189,STAR
24.14215,21.62752,21.23791,21.18058,21.29389,-0.0008422044,STAR
22.71006,22.36307,20.48123,19.29513,18.92101,0.5757952,GALAXY
21.30071,21.25743,20.93364,20.79911,20.7132,1.103452,QSO
21.32712,21.17154,20.92074,20.90158,20.91738,1.425137,QSO
21.23495,19.86646,20.48055,19.39171,21.89242,2.143339e-05,STAR
20.94896,21.30638,20.7218,20.66706,20.78518,1.247708,QSO
20.23037,18.82738,18.27384,18.04727,17.94896,-0.0001611762,STAR
25.23051,22.0636,20.69208,19.61902,19.19688,7.068169e-05,STAR
20.54521,20.39145,20.14557,20.14944,20.12398,0.988546,QSO
19.8857,18.85894,18.76791,18.75413,18.78512,-0.0002940185,STAR
21.73738,20.69898,18.8536,18.27069,17.80585,0.3619895,GALAXY
22.98676,21.77459,21.83334,21.90629,21.59707,2.3264,QSO
19.29061,19.08761,18.90418,18.83548,18.81557,1.224391,QSO
16.73895,15.32383,14.61948,14.23762,13.99211,0.06505558,GALAXY
20.01969,19.23199,18.87455,18.76445,18.85461,0.0003213836,STAR
19.46331,19.38475,19.29349,19.01976,18.96732,1.82478,QSO
21.51967,20.92825,20.74689,20.73188,20.58991,2.44563,QSO
23.10674,20.93408,19.28234,18.57633,18.1767,0.3923455,GALAXY
19.6316,18.00056,17.39282,17.19624,17.09337,-0.0001510492,STAR
20.34999,20.1505,19.94709,19.83937,19.72294,1.20827,QSO
20.03688,18.27019,17.20885,16.68446,16.31761,0.1733628,GALAXY
16.99643,15.90056,16.62776,15.11122,14.78096,0.0001589031,STAR
25.72364,23.03721,21.04014,19.72521,18.91054,0.6592138,GALAXY
20.7721,20.29077,20.04355,20.13413,20.00376,0.8626814,QSO
22.64799,20.25135,18.80356,17.6034,16.92646,6.431703e-05,STAR
19.24022,17.94647,17.45956,17.24704,17.14188,-0.000556672,STAR
21.78149,19.63939,18.73483,18.42692,18.31978,-0.0001932474,STAR
24.02161,24.54143,23.08318,21.80865,19.47395,0.0001539016,STAR
18.95114,18.03119,17.74832,17.68842,17.62394,-0.0001987281,STAR
21.86104,19.6003,18.10111,17.43377,17.0025,0.2625715,GALAXY
24.31543,22.17832,21.83941,21.3213,22.01619,0.3848228,GALAXY
21.34674,20.69121,20.61946,20.73242,21.1388,1.985135e-06,STAR
18.94701,17.85952,17.58677,17.48501,17.56116,-2.988348e-05,STAR
21.57232,21.69865,21.14995,21.21568,21.37681,1.160932,QSO
25.31027,23.01617,21.60882,20.57224,19.83481,1.984285,GALAXY
24.81855,22.40499,20.82392,19.87084,19.47398,0.5226689,GALAXY
24.82939,23.51395,21.93375,20.4692,19.80433,-0.0002588338,STAR
21.80422,19.04949,17.63826,16.3703,15.65971,0.0001518388,STAR
23.41029,22.1811,20.98012,20.06822,19.22752,0.5447863,GALAXY
20.45602,19.08593,19.01611,18.94168,18.94988,3.13542,QSO
21.19428,21.24986,20.90792,20.89157,21.26122,1.233884,QSO
19.75471,18.4413,17.90553,17.7269,17.62125,-6.492747e-05,STAR
19.78377,19.72561,19.68225,19.46064,19.39157,1.950449,QSO
25.68999,21.72546,21.69193,21.60746,21.81106,3.301685,QSO
20.10512,18.45978,17.61104,17.20898,16.96202,0.1162698,GALAXY
21.55915,21.55669,21.69458,21.27853,22.01872,1.800677,QSO
19.37078,17.72065,16.77003,16.31177,15.9562,0.1289453,GALAXY
21.92689,20.65071,20.5175,20.53047,20.16645,2.897563,QSO
26.63507,23.42352,21.8323,20.58193,19.87099,0.7622296,GALAXY
22.04727,21.25819,20.28731,19.51025,19.04686,0.5549575,GALAXY
24.80186,22.88139,21.382,20.32282,19.88685,0.5906847,GALAXY
26.32943,19.48996,17.90724,17.37862,17.05158,0.261424,GALAXY
22.47416,22.19177,21.80057,22.05874,21.71101,0.2003347,QSO
19.84098,17.32903,16.19129,15.76043,15.52337,-4.376462e-05,STAR
24.63465,23.67284,20.51241,19.82538,20.78442,-0.0002757657,STAR
19.52658,19.26482,19.56778,19.7675,20.16304,-7.683361e-05,STAR
21.4817,20.94597,20.8186,20.65345,20.81233,2.81959,QSO
25.51649,23.07396,21.79523,20.69652,20.01538,0.5348451,GALAXY
20.59521,20.52432,20.44593,20.18775,20.08776,1.732272,QSO
22.25094,22.06504,21.71733,21.77039,21.63683,1.343643,QSO
18.97997,17.39275,16.5874,16.18032,15.90929,0.08506221,GALAXY
24.73195,20.77018,19.89338,18.75201,18.14527,-0.0001211033,STAR
20.7927,20.5592,20.42291,20.17113,19.86618,0.4133353,QSO
17.69661,17.4204,17.60233,17.46951,17.62737,0.5775959,QSO
20.52922,20.10665,19.64214,19.57725,19.52622,1.252568,QSO
20.42265,18.46711,17.43212,16.97994,16.6385,0.1230963,GALAXY
22.67819,21.98458,20.14561,19.31643,18.82982,0.4514008,GALAXY
20.2594,19.572,19.61425,19.39838,19.3438,0.6266924,QSO
22.38189,20.44151,18.7559,18.189,17.80367,0.3432477,GALAXY
23.44511,22.28933,21.07776,20.04291,20.12222,1.222628,QSO
21.06669,20.04172,19.65058,19.52749,19.55789,-0.001579653,STAR
21.70941,21.39632,21.15032,20.93506,20.81783,0.5432023,GALAXY
16.41187,16.39324,16.64488,16.84201,17.06479,-3.202474e-05,STAR
22.5373,21.35641,20.80105,20.57221,20.81331,-0.0009439862,STAR
23.46259,21.69206,20.2875,19.47223,18.87613,0.4114791,QSO
26.12316,23.16348,22.26781,20.84213,19.99376,0.7083778,GALAXY
22.00237,21.77586,21.16375,21.02436,20.79077,1.251336,QSO
21.35792,21.22655,20.85413,20.75234,20.81595,1.382167,QSO
21.65835,21.15646,21.14431,20.71332,20.68793,1.869244,QSO
24.47971,24.04138,22.57661,19.89924,18.39988,0.0002351426,STAR
20.13895,19.22472,18.88823,18.76531,18.7828,-0.0007504026,STAR
22.22892,21.44138,21.30061,21.31254,21.61038,-0.001576171,STAR
22.30345,22.03199,21.55568,20.9902,20.82536,0.6474143,QSO
19.41317,17.51933,16.56564,16.09956,15.78444,0.07305844,GALAXY
18.49752,16.59698,15.90341,15.68926,15.56516,-6.608758e-05,STAR
23.29807,22.19296,21.74269,21.40578,21.45465,-0.000303397,STAR
22.70049,21.61046,21.02661,20.83804,20.84628,-0.0003532797,STAR
19.71753,18.8247,18.47892,18.16244,18.08549,0.08013721,GALAXY
23.3282,21.3006,20.24114,19.87177,19.43648,0.1843994,GALAXY
19.23176,17.43457,16.71582,16.44263,16.28149,-0.0001156153,STAR
21.18676,20.92465,20.52018,20.30432,20.30713,0.485673,GALAXY
22.45107,21.55794,20.51394,19.74598,19.3185,0.6217327,GALAXY
24.17729,23.26122,21.53437,20.41431,19.1571,5.261e-05,STAR
22.76112,22.1245,22.02812,21.84091,21.44378,0.5930616,QSO
18.38424,17.53892,17.41576,17.30827,17.20075,0.0264321,GALAXY
19.96206,20.03785,19.65649,19.64139,19.61831,1.260281,QSO
25.91348,23.19917,22.11469,20.85466,19.91046,0.0,GALAXY
19.85225,18.22395,17.36943,16.97067,16.69047,0.06218799,GALAXY
24.69922,23.71316,21.91618,20.61898,19.90022,0.7134091,GALAXY
24.63467,20.28081,19.54951,20.09516,22.8269,-5.682039e-05,STAR
21.90602,21.26359,20.33092,19.46029,19.35189,0.5901213,GALAXY
24.09227,22.81197,21.6443,20.55641,20.0318,0.0001382173,STAR
18.29851,17.99857,17.90667,17.72803,17.81232,1.50147,QSO
21.97387,22.10432,21.80298,21.44331,22.11148,1.771467,QSO
22.1777,21.58529,20.19267,18.86904,18.3858,0.5742677,GALAXY
18.90934,18.63168,18.13065,17.76817,17.60369,0.226332,QSO
21.48377,21.24405,21.49956,21.35437,21.41118,2.022265,QSO
21.02582,18.19141,16.92888,16.42508,16.153,-7.741526e-05,STAR
20.65958,20.75413,20.90672,20.7513,20.44522,2.067646,QSO
20.47585,19.38313,19.06247,18.98424,18.98255,-0.0006572396,STAR
21.44016,19.09965,17.62787,17.09484,16.74357,0.2311148,GALAXY
21.08201,20.47715,20.24957,20.05916,19.90213,0.716328,QSO
22.7406,22.10913,22.19376,21.74657,20.92901,0.9024916,QSO
22.0307,21.20071,20.86031,20.31491,20.10643,1.889517,QSO
22.18706,21.92893,22.06072,21.70502,21.04701,0.001492399,STAR
21.23749,20.40609,20.22783,20.2049,20.06592,-0.0005360545,STAR
24.90786,22.71219,20.98663,20.04717,19.69601,0.6183903,GALAXY
23.05981,22.03167,22.08058,21.94234,21.74799,2.539372,QSO
21.36299,21.4737,21.20078,21.21653,21.22425,1.415646,QSO
17.0216,15.7759,15.2305,14.98995,14.89966,-0.0005639213,STAR
21.834,21.16818,20.97433,20.7551,20.3508,1.808908,QSO
20.17048,19.09999,18.74806,18.55675,18.50133,-0.000823412,STAR
22.61221,21.06777,21.14133,20.98416,20.94788,2.331998,QSO
18.8257,18.6237,18.48473,18.49617,18.40343,1.182945,QSO
17.57972,16.37152,15.86001,15.64303,15.5407,-0.000142159,STAR
20.7365,19.77264,19.68299,19.62374,19.75701,0.0003080649,STAR
22.39566,21.14543,21.10925,20.9014,20.37786,2.357811,QSO
24.35072,21.74067,20.63946,20.61117,20.70171,3.731369,QSO
23.93153,23.32713,21.64141,20.56188,19.85402,4.537274e-05,STAR
21.41166,21.23825,20.87499,20.35255,20.4117,1.821572,QSO
17.37265,17.10089,17.12945,17.00918,17.11715,0.5445306,QSO
19.13939,18.84869,18.55362,18.26188,18.18852,1.731677,QSO
24.28919,22.65578,21.65049,20.69501,20.41271,0.613026,GALAXY
18.44037,16.69995,15.84931,15.44202,15.13748,0.06689625,GALAXY
22.3179,20.91964,20.64502,20.52271,20.29095,3.002446,QSO
23.63634,22.68762,20.9013,19.73983,19.31421,0.6112654,GALAXY
22.52427,20.09015,18.36804,17.6225,17.19975,0.4279951,GALAXY
22.28084,21.28164,20.74152,20.31452,20.21236,0.2098451,GALAXY
20.5766,20.47495,20.30892,20.13876,20.16471,1.87553,QSO
25.95096,24.86428,22.51503,20.39753,18.92562,-0.0001536662,STAR
21.56799,21.58064,21.28826,21.08362,20.84224,1.776481,QSO
20.78546,20.63746,20.41065,20.44033,21.00394,1.341521,QSO
24.80874,21.59901,21.35508,21.06041,21.21684,-0.001099572,STAR
23.63644,22.34354,20.48129,19.45343,19.05253,0.587327,GALAXY
18.75059,17.53751,16.90733,16.50208,16.26888,0.04962273,GALAXY
20.44256,19.74999,19.53918,19.56343,19.14686,0.7439713,QSO
23.61021,22.69965,21.38668,20.14762,19.45845,0.7338862,GALAXY
26.13179,23.14114,21.47153,20.2417,19.46165,0.6673406,GALAXY
23.91802,22.76002,21.55184,20.33236,19.63989,-0.0003122511,STAR
19.78859,19.21265,19.05729,18.82217,18.51151,2.230372,QSO
21.96251,21.9449,21.43921,21.23038,21.12172,1.140433,QSO
25.00593,22.13818,20.00367,18.98118,18.37526,0.5368313,GALAXY
23.13838,21.53186,21.59333,21.66091,21.35179,2.368093,QSO
19.18964,17.62403,16.72028,16.29505,15.95946,0.1223603,GALAXY
19.40077,18.26037,17.48279,17.05726,16.7489,0.1479605,GALAXY
25.90543,22.25445,20.15695,19.3152,18.94766,0.4527751,GALAXY
19.04944,18.96648,18.67224,18.67835,18.63937,1.223739,QSO
21.42575,18.61723,17.14411,15.98985,15.35128,4.210693e-05,STAR
17.65172,17.59713,17.52701,17.39068,17.27451,1.981476,QSO
25.3665,22.09465,20.69348,19.79517,19.49469,0.4898618,GALAXY
23.30858,23.01882,21.69625,20.4771,19.76939,0.6279761,GALAXY
19.74477,18.3558,17.76144,17.51633,17.38372,5.52707e-05,STAR
22.22948,22.23781,21.72729,21.6903,21.36674,1.221857,QSO
20.16826,18.30532,17.16935,16.70628,16.32227,0.1529353,GALAXY
22.97363,22.59517,20.76497,19.4837,18.92034,0.6599544,GALAXY
20.58295,19.38312,18.83061,18.5316,18.55327,0.0003817383,STAR
20.54504,18.53685,17.80356,17.53999,17.41066,-0.0001361183,STAR
18.5784,17.24726,16.78912,16.62265,16.58176,-3.479188e-05,STAR
25.18395,24.36711,21.56137,20.42349,19.6066,0.706714,GALAXY
23.53194,21.09686,19.87638,19.34816,19.05075,0.2603825,GALAXY
22.28047,20.05306,18.86459,18.40102,18.14497,-0.0001036773,STAR
19.85703,17.98298,16.88018,16.38404,16.03823,0.1581347,GALAXY
21.17957,20.25521,20.0122,19.85137,19.90955,0.0007784155,STAR
25.59536,23.43911,21.93922,20.11472,19.3408,0.65273,GALAXY
20.70758,20.18734,19.89176,19.51055,19.09882,2.155393,QSO
22.90594,25.22121,23.22888,21.21022,19.49352,-8.326695e-05,STAR
18.50931,18.37254,18.29167,18.45896,18.4867,0.9513213,QSO
20.98841,18.77979,17.62636,17.1468,16.75583,0.1546752,GALAXY
19.73725,19.4862,19.04919,18.85514,18.79748,1.429148,QSO
20.326,19.97413,19.77085,19.47487,19.56168,1.741906,QSO
23.00759,21.82109,21.66686,21.48608,21.05577,-7.414236e-05,STAR
22.37601,21.75916,19.99185,18.96251,18.50227,0.5652973,GALAXY
19.92696,19.71871,19.53516,19.48272,19.25812,1.037199,QSO
21.51649,21.1547,20.99359,21.1259,20.92862,0.9672578,QSO
23.87409,23.0932,21.26133,19.84351,19.26088,0.6269024,GALAXY
22.23513,22.10592,21.8944,21.65111,21.69121,1.249515,QSO
19.68857,18.81892,18.42343,18.2731,18.25371,-0.001378546,STAR
24.64343,22.80103,21.21183,20.05603,19.52191,0.6165233,GALAXY
19.69432,18.73223,18.35286,18.2174,18.19748,-0.0005829969,STAR
22.20526,20.5148,20.09238,19.90723,19.88147,0.0006371901,STAR
20.86112,20.75164,20.63947,20.28311,20.09204,1.727465,QSO
21.46869,21.12444,20.69552,20.79206,20.3224,1.391762,QSO
24.23773,23.0848,23.27107,22.12196,22.06763,1.663177,QSO
26.36218,24.37409,22.04755,20.65966,19.94279,0.762924,GALAXY
24.64387,23.56557,21.62262,19.46737,18.3778,1.54383e-05,STAR
17.76889,16.21242,15.46454,15.00592,14.68939,0.06402881,GALAXY
20.90455,19.54674,19.03158,18.87616,18.75556,-0.0001235909,STAR
19.10983,17.82879,17.23422,16.96148,16.84543,-3.629171e-05,STAR
21.17383,19.22645,17.74915,17.23143,16.88683,0.2414952,GALAXY
21.00061,18.87119,17.79927,17.34344,16.97161,0.1417349,GALAXY
21.08536,20.7541,20.61264,20.57932,20.57955,1.919974,QSO
21.46027,20.7981,20.45359,20.37128,20.4917,-0.0003749935,STAR
22.78328,20.91525,19.17758,18.56107,18.20577,0.3611142,GALAXY
16.74635,16.6139,16.98524,17.28363,17.57528,-7.165525e-05,STAR
21.70429,20.35905,19.85663,19.65403,19.60405,0.8098523,GALAXY
18.43713,17.24072,16.84389,16.6732,16.62135,-0.0002900587,STAR
20.02788,19.67741,19.53571,19.60968,19.6095,0.7489677,QSO
25.72678,21.96488,21.72571,21.91342,22.14652,1.032584,QSO
19.29933,17.86239,17.11419,16.70519,16.47844,0.09131109,GALAXY
23.68208,22.49958,21.62689,21.19315,20.92545,0.7287679,GALAXY
26.46119,22.46546,21.15513,20.12482,19.61175,0.6449027,GALAXY
22.69903,21.42386,21.2076,21.03587,20.8516,2.46093,QSO
19.91968,17.46956,16.25552,15.72208,15.37563,-4.936478e-05,STAR
23.5192,20.3141,19.03386,18.5172,18.23257,-1.37827e-06,STAR
23.29514,23.04465,21.83536,21.44397,21.55024,0.9567848,GALAXY
22.16854,22.12979,20.85483,19.6391,19.11465,-1.86704e-05,STAR
19.02102,17.49211,16.92193,16.73274,16.64198,-0.0004226024,STAR
21.86842,21.86913,21.91569,21.51502,20.8752,2.837399,QSO
19.3694,18.12787,17.52943,17.19604,16.95938,0.08366157,GALAXY
23.59102,20.819,19.04343,18.41981,18.03805,0.3520091,GALAXY
20.12178,18.81559,18.24684,18.00571,17.85875,-0.0001765439,STAR
23.21307,22.38983,20.60347,19.65093,19.18153,0.5395792,GALAXY
20.27998,18.45847,17.52172,17.0935,16.85732,-4.687022e-05,STAR
22.27802,21.84472,21.61473,21.39485,21.27062,2.649339,QSO
20.61333,18.60944,17.4827,16.96331,16.56716,0.1200129,GALAXY
21.27401,19.61286,18.86636,18.61135,18.36599,4.770148e-05,STAR
20.99874,20.42552,20.18877,20.09012,19.9112,0.8095844,QSO
22.63023,21.80472,21.36499,21.06734,21.17599,0.6959941,GALAXY
19.29966,17.47437,16.45357,15.96339,15.59316,0.1431746,GALAXY
21.22161,19.33486,18.2339,17.80993,17.53404,1.931911e-05,STAR
25.54487,22.32375,20.41082,19.5927,18.85005,0.4356377,GALAXY
25.1981,22.83477,20.81467,19.79213,19.36585,0.5591497,GALAXY
19.81286,18.84705,18.51217,18.36342,18.32749,-0.000606048,STAR
21.94966,20.88367,20.45551,20.29329,20.27842,-0.0008401956,STAR
21.14159,20.39414,20.06828,19.92731,19.92004,-0.001110369,STAR
22.38592,22.48836,22.02923,21.81346,21.82339,1.75584,QSO
21.81025,19.73666,18.24503,17.70424,17.35985,0.2716711,GALAXY
24.66805,23.59372,21.80677,20.63786,19.86273,0.706799,GALAXY
22.22021,21.05091,19.19382,18.53996,18.07271,0.3557285,GALAXY
20.18747,19.7227,19.54834,19.53544,19.56601,-7.914615e-05,STAR
16.39478,15.37749,15.04076,14.90655,14.88252,-0.0003094297,STAR
22.26911,22.40953,20.68759,19.5036,19.14331,0.6119601,GALAXY
18.47418,17.09051,16.45691,16.08711,15.84623,0.08088481,GALAXY
20.24471,18.61533,17.63567,17.19903,16.84979,0.1702505,GALAXY
18.00112,16.23549,15.53708,15.25369,15.09372,-0.0001805246,STAR
17.96136,16.99306,16.67402,16.52548,16.50204,-4.940842e-05,STAR
22.15769,21.50913,21.30348,21.3195,20.82059,2.417994,QSO
23.03932,21.71304,21.14856,20.99392,20.91912,-0.0005067225,STAR
18.7953,17.83966,17.56901,17.48012,17.47481,-0.0001139775,STAR
25.99924,21.72816,20.65058,20.51204,20.32459,3.872381,QSO
21.83185,21.50603,21.27691,21.14615,21.40351,-0.0003220262,STAR
17.95847,16.83707,16.36004,16.14703,15.93356,0.02627696,GALAXY
16.75653,15.20224,14.72921,14.48143,14.39446,9.128026e-05,STAR
18.76185,17.47166,16.85384,16.58395,16.46318,-0.0007115068,STAR
21.06909,20.35689,20.39902,20.3938,20.22169,2.551716,QSO
24.28487,22.81894,21.27246,20.62768,20.30553,-0.0003516248,STAR
21.63342,20.70901,20.38196,20.25169,20.06206,2.352615,QSO
20.00457,18.62643,17.5798,17.06867,16.69294,0.2130592,GALAXY
19.28283,18.2744,17.88057,17.74005,17.64833,-0.0005121055,STAR
20.05708,18.95173,18.64148,18.54993,18.5772,-4.367385e-05,STAR
17.95435,16.80502,16.70065,16.6946,16.71298,0.0002961491,STAR
22.01781,19.29289,17.86886,16.55421,15.84455,4.564905e-05,STAR
23.37164,21.72477,20.12282,19.32607,18.93426,0.4836631,GALAXY
23.60502,22.12571,21.9346,21.56317,21.30436,4.630027,QSO
23.57257,22.26296,20.74163,19.61807,19.15872,0.5553048,GALAXY
24.76847,22.9987,22.32679,21.6125,21.22511,0.8373455,GALAXY
21.69384,20.07586,19.41856,19.1693,19.0117,-0.0001294183,STAR
22.69688,21.61826,21.60827,21.30622,21.73289,0.0,GALAXY
17.5741,15.98416,15.34494,15.10639,15.00585,9.423306e-05,STAR
22.12119,22.56431,21.35474,20.74269,20.69789,0.6503434,GALAXY
21.5714,18.94348,17.60908,16.99118,16.59868,-2.703969e-05,STAR
19.47225,19.53202,19.21905,19.17847,19.23657,1.393077,QSO
22.69378,22.07389,20.4833,19.2926,18.79645,0.6251816,GALAXY
24.68684,22.41823,20.9684,20.07719,19.53058,0.5572383,GALAXY
26.79544,22.61883,21.0631,19.75527,19.26156,0.0001554281,STAR
25.6922,23.7366,21.76012,20.66246,19.94647,0.487854,GALAXY
23.14844,21.49111,19.78369,19.04256,18.64104,0.4488756,GALAXY
18.08247,17.9026,17.63991,17.67699,17.69776,1.012512,QSO
24.00021,21.75237,20.14426,19.13559,18.45145,0.5513051,GALAXY
25.32624,23.04657,21.3949,20.21782,19.73816,0.5960871,GALAXY
22.71097,21.61705,20.73267,20.17655,19.69413,2.458344,QSO
26.13619,22.5853,21.26073,20.77354,20.6891,-0.0001681253,STAR
18.19268,18.17028,18.10649,17.85957,17.86831,1.867941,QSO
22.2045,20.46837,18.71534,18.07707,17.68791,0.3718193,GALAXY
19.69777,18.58338,18.15982,18.01584,17.94723,-0.0002894821,STAR
22.18223,22.29256,22.04992,21.9473,21.27517,1.894753,QSO
24.87984,23.90326,21.86326,20.7219,19.79606,0.6863332,GALAXY
19.94725,18.06818,17.27981,16.94199,16.77146,0.0003048855,STAR
19.88423,18.25033,17.39091,16.95459,16.63987,0.1359016,GALAXY
23.47042,20.96954,19.59037,18.32136,17.67655,9.399944e-05,STAR
19.21621,18.03907,17.52748,17.30095,17.23563,0.0005568851,STAR
22.00723,21.41095,21.09645,20.64891,20.14674,2.095433,QSO
22.21995,20.96629,19.81049,19.30486,18.81489,0.2101209,GALAXY
22.6368,20.04832,18.4166,17.86713,17.48303,0.3028166,GALAXY
19.95157,19.0771,18.78778,18.69246,18.64108,-0.0004504661,STAR
26.13088,22.61489,20.84933,19.02155,17.99363,-3.828385e-05,STAR
19.44831,17.79443,16.95866,16.49616,16.15057,0.08523872,GALAXY
22.68796,22.779,21.05322,19.90759,19.45784,0.567719,GALAXY
22.06602,21.41966,21.17139,21.10553,20.37559,0.9129266,QSO
23.05454,21.23849,20.44103,20.22109,20.10895,-0.0001963423,STAR
26.27509,21.79133,20.38094,19.32354,18.79103,0.0001034286,STAR
22.75584,22.45206,20.94363,19.97786,19.51856,0.6601869,QSO
21.53241,21.2829,20.38592,19.52336,19.39542,0.6309118,GALAXY
21.05956,18.66894,17.62082,17.17562,16.82576,0.146722,GALAXY
18.75835,18.57446,18.38512,18.23563,18.22468,1.425605,QSO
19.29058,18.23323,17.75899,17.46431,17.32453,0.109509,GALAXY
22.76635,22.78217,21.12766,19.94665,19.42836,0.589416,GALAXY
23.99006,23.13163,20.77406,19.56736,19.27584,0.5770552,GALAXY
18.98904,18.05894,17.59908,17.40492,17.30419,-0.0008246762,STAR
17.1421,15.68478,14.92443,14.53076,14.23217,0.03347036,GALAXY
20.7084,20.53832,20.39534,20.03595,20.16309,1.73408,QSO
22.34966,22.48672,22.23148,22.57331,21.5225,0.06070701,GALAXY
20.20897,20.27139,20.12339,20.05718,19.97058,1.139995,QSO
21.50453,20.53011,20.27882,20.13422,20.2391,9.717288e-05,STAR
21.93988,21.00434,20.63837,20.46596,20.18308,0.02915663,GALAXY
20.17812,20.19845,19.81348,19.5585,19.46826,1.477166,QSO
21.48502,20.79715,20.59755,20.50105,20.47388,-0.0002460218,STAR
20.24159,20.17513,20.10384,19.87208,19.61699,1.940271,QSO
22.75751,21.69164,20.36012,19.47301,19.10299,0.5284814,GALAXY
20.63562,19.68431,19.30502,19.11802,19.16423,0.0003989431,STAR
19.25733,17.84679,17.28318,17.06752,16.93056,-0.0002002053,STAR
20.01411,17.59873,16.61676,16.27765,16.08314,-3.576983e-05,STAR
22.54899,22.14574,21.89589,21.81678,21.11146,2.178588,QSO
20.52684,20.20581,20.06086,19.96835,19.58647,2.120492,QSO
19.01833,17.25084,16.40399,15.98664,15.61978,0.05989246,GALAXY
23.60023,21.93559,21.62066,21.56682,21.12409,-0.0005341878,STAR
21.05008,18.72251,17.67219,17.28459,17.09561,-1.084717e-05,STAR
17.74634,17.8476,17.81285,17.65624,17.50096,2.038011,QSO
19.49719,17.58264,16.66178,16.18781,15.85648,0.07772008,GALAXY
