Vmag,Plx,e_Plx,B-V,SpType,Amag,TargetClass
8.92,8.17,1.89,0.499,F5V,18.48111,1
6.24,4.3,0.91,1.622,M1III,14.407342,0
9.56,9.64,1.47,0.61,G3V,19.480385,1
9.01,3.3,1.28,1.096,K1III,16.60257,0
3.32,16.46,22.22,0.885,G8IIIvar,14.402148,0
8.25,2.9,0.96,1.039,K0III,15.561991,0
7.02,2.18,0.73,1.499,K5III,13.712282,0
7.83,2.91,0.97,1.256,K2III,15.149465,0
7.71,7.73,1.13,0.5,F0III/IV+..,17.150898,1
5.29,5.33,0.87,1.478,K4III,13.923636,0
5.49,12.29,0.89,1.021,K1/K2III,15.937759,0
5.94,3.22,0.83,1.548,K5III,13.4792795,0
6.8,1.44,0.6,1.63,M5III,12.591812,0
9.65,9.88,1.19,0.499,F6V,19.623783,1
6.64,3.39,0.78,1.548,K4III,14.290998,0
4.96,4.79,0.74,-0.068,B8III,13.361678,0
8.08,3.45,0.94,1.156,K2III,15.769095,0
8.03,0.09,1.16,1.426,K2/K3III,7.8012123,0
7.83,1.12,0.83,1.311,G8III,13.07609,0
8.3,1.75,1.01,1.171,K1/K2III,14.51519,0
8.86,6.03,1.27,0.348,A7V,17.761585,1
7.86,10.58,1.04,0.759,G5IV,17.982428,1
8.07,16.11,0.92,0.517,F7V,19.105478,1
8.94,8.68,1.23,0.507,F6V,18.632599,1
5.01,6.65,0.78,1.584,M3IIIvar,14.124108,0
6.83,3.66,0.83,1.197,K2III,14.647406,0
6.88,22.39,0.87,0.448,F7V,18.63027,1
8.42,0.56,1.04,1.048,K1IIICN...,12.16094,0
8.56,1.37,1.0,1.972,K7III,14.243603,0
7.51,18.58,0.97,0.607,G0V,18.855228,1
9.6,2.62,1.85,0.415,F2V,16.691507,1
8.47,8.4,1.63,0.407,F0V,18.091396,1
8.49,4.61,1.26,0.34,F0V,16.808504,1
9.78,5.84,1.37,0.657,G3/G5V,18.612064,1
9.24,9.02,1.07,0.529,F8V,19.016033,1
9.08,5.23,1.28,0.482,F5V,17.672508,1
9.54,7.24,1.35,0.36,F2V,18.838692,1
7.61,3.08,0.92,0.975,G9III,15.052753,0
7.1,17.88,0.9,0.5,F5V,18.361837,1
9.47,6.94,1.26,0.572,F8V,18.676798,1
6.72,5.63,0.57,0.394,F2/F3III,15.472542,0
8.89,1.97,1.11,1.033,G8III,15.362331,0
9.35,26.92,1.21,0.951,K1V,21.500376,1
5.9,0.89,0.58,0.274,A1III,10.64695,0
9.33,4.57,1.29,0.51,F5V,17.629581,1
5.09,15.94,0.48,1.345,K5III,16.102442,0
7.5,2.5,0.69,1.703,M1III,14.4897,0
8.92,19.12,1.25,0.76,G8V,20.32744,1
8.78,6.96,1.14,0.432,F5V,17.993046,1
8.62,2.87,1.11,0.196,A3V,15.9094095,1
6.37,5.13,0.59,-0.081,B8/B9V,14.920587,1
8.91,3.21,1.35,0.37,F0V,16.442524,1
8.93,24.32,0.85,0.797,K1V,20.859818,1
9.52,3.67,1.45,0.44,F3V,17.34333,1
8.84,2.58,1.08,-0.104,B8V,15.898098,1
9.32,3.89,1.25,0.625,G3V,17.269749,1
9.23,0.56,1.36,1.728,K5III,12.97094,0
8.49,1.18,1.1,1.158,K0III,13.84941,0
8.99,1.64,1.34,0.463,F3V,15.0642185,1
9.3,0.82,1.08,1.107,K0III,13.869069,0
8.28,6.03,1.08,0.473,F0III,17.181587,0
4.25,48.94,0.53,0.48,F6IV,17.698318,1
8.17,4.72,1.16,0.995,K0III,16.539711,0
9.46,8.92,1.33,0.585,F8IV,19.211824,1
8.94,14.46,1.25,0.816,K0V,19.74084,1
6.8,5.39,0.84,1.524,K5III,15.457944,0
9.38,11.99,1.12,0.578,G1V,19.774097,1
7.62,3.73,0.94,0.955,G8III,15.478544,0
8.74,2.36,1.11,0.18,A3V,15.604559,1
8.88,4.78,1.23,1.14,K2III,17.27714,0
9.11,0.02,1.35,1.267,K2III,5.6151495,0
9.65,3.58,0.93,0.466,F0/F2IV/V,17.419415,1
8.8,6.35,1.05,0.325,F2Vs,17.81387,1
8.45,0.87,1.1,1.611,M2III,13.147596,0
8.5,5.87,1.29,0.46,F3V,17.343191,1
8.13,12.31,0.72,0.414,F5V,18.581291,1
7.09,6.89,0.76,0.969,G8II,16.281096,0
7.82,6.29,0.87,1.102,K1III,16.813253,0
8.6,2.45,1.22,0.741,G5IIIm,15.545831,0
8.61,3.09,0.96,1.039,K0III,16.059792,0
7.3,3.27,1.06,1.078,K0III,14.87274,0
8.17,2.8,0.75,1.109,G8III,15.40579,0
9.68,8.45,1.91,0.585,G2V,19.314285,1
9.06,2.39,1.26,0.99,K0III,15.95199,0
6.14,8.91,0.75,0.962,G8III,15.889389,0
7.91,2.52,0.74,1.0,K0III,14.917003,0
7.01,7.7,0.81,1.078,K1IV,16.442453,1
6.11,0.57,0.69,-0.151,O9IIInn,9.889375,0
9.45,2.5,1.54,1.049,G8III,16.439701,0
9.73,7.23,1.68,0.46,F3/F5V,19.025692,1
8.23,2.57,1.05,1.154,K1III,15.279665,0
9.04,3.96,1.35,1.0,G9III,17.028477,0
8.65,6.37,2.29,0.493,F6V,17.670696,1
9.09,14.06,1.33,0.617,G2/G3V,19.829927,1
7.74,5.04,0.99,1.114,G5III,16.252151,0
8.03,2.51,1.17,1.077,K0III,15.028368,0
8.76,-0.13,1.41,1.551,M3III,9.329717,0
6.98,-0.14,0.68,0.918,F4Iab:,7.7106404,0
9.71,0.11,1.33,0.27,A5IIIm...,9.916964,0
7.28,11.08,0.73,0.342,F0IV,17.5027,1
7.36,4.25,0.72,0.993,K0III,15.5019455,0
9.25,15.85,1.35,0.864,K1III,20.250147,0
9.55,10.79,1.44,0.622,G3/G5V,19.715107,1
8.27,1.87,0.77,1.608,M1III,14.629209,0
8.68,7.89,2.34,0.529,F5V,18.165386,1
5.87,8.27,1.28,0.635,A7V...,15.457527,1
8.09,3.38,1.13,1.125,K1IIICN...,15.734584,0
5.62,10.35,0.96,0.949,G7III,15.694701,0
9.49,7.26,1.35,0.524,F6V,18.794683,1
7.56,11.92,0.61,0.419,F5IV-V,17.941381,1
9.29,3.11,1.38,1.068,K1III,16.753803,0
6.04,7.07,1.0,1.081,G6III:,15.287097,0
8.69,1.93,1.36,2.102,M2Ib,15.117786,0
9.1,0.92,1.07,1.137,K0III,13.91894,0
9.36,2.79,1.4,0.586,F7V,16.58802,1
5.56,5.31,0.61,-0.054,B8V,14.1854725,1
5.9,5.46,0.74,1.536,M2III,14.585962,0
8.71,-0.06,0.95,1.211,K1III,7.6007566,0
9.38,5.23,0.93,0.478,F3V,17.972507,1
4.3,4.85,0.84,-0.154,B7IIIp,12.728708,0
6.25,3.32,0.76,1.658,M3III,13.85569,0
7.81,15.02,0.83,0.607,G0V,18.69335,1
8.22,16.29,1.62,0.83,G9V,19.279606,1
7.15,8.03,0.94,0.866,G5III:+...,16.673578,0
8.9,4.7,1.3,0.576,G1V,17.26049,1
8.23,10.79,1.5,0.513,F5V,18.395107,1
7.68,3.48,1.04,1.028,K0III,15.387896,0
8.29,5.13,0.76,1.011,K0III,16.840588,0
7.58,3.64,0.94,1.271,K1IV,15.385508,1
8.17,-0.86,1.15,0.899,G8III,12.842492,0
6.71,6.57,0.54,0.883,G8III,15.797828,0
9.9,-1.16,2.37,0.33,A0Ib,15.22229,0
9.7,2.1,1.55,0.418,F5V:,16.311096,1
8.12,2.36,0.94,1.496,M0III,14.98456,0
10.21,-1.3,1.21,0.138,A0Ia0,15.7797165,0
7.99,8.04,0.7,0.907,K0III,17.516281,0
10.17,2.69,1.46,0.472,F3IV/V,17.318762,1
5.87,9.91,0.88,0.966,K0II/III,15.8503685,0
7.82,3.11,1.03,1.323,K2/K3III,15.283802,0
8.82,13.43,1.16,0.537,F8IV,19.46038,1
6.91,9.69,0.75,0.331,F3IV/V,16.84162,1
6.55,5.73,0.81,1.244,K1/K2III,15.340774,0
8.28,11.59,0.92,0.476,F5V,18.600418,1
8.37,11.18,1.08,0.428,F5V,18.61221,1
8.52,16.26,0.98,0.687,G3V,19.575603,1
8.18,2.32,1.08,1.281,K2III,15.007441,0
7.3,20.34,1.04,0.694,G3V,18.841755,1
7.65,1.16,0.67,1.503,K4III,12.97229,0
8.77,3.36,1.19,1.393,K3III,16.401697,0
6.05,16.13,0.52,0.338,F0III,17.088173,0
8.3,8.6,1.11,1.011,K0/K1IV,17.972492,1
8.62,8.15,1.18,0.365,F0V,18.175789,1
9.47,2.76,1.56,0.442,F3V,16.674545,1
9.53,7.42,1.19,0.41,F2/F3V,18.882019,1
7.82,4.11,0.8,1.041,K0III,15.88921,0
7.62,4.76,0.94,1.148,K0III,16.008034,0
6.28,8.4,0.71,0.897,G8III,15.901396,0
6.78,1.78,0.81,1.491,K3III,13.032101,0
8.75,1.81,1.09,1.168,K1III,15.038393,0
6.89,11.66,1.54,0.362,F2/F3V,17.223492,1
6.77,23.97,0.97,0.468,F5V,18.66834,1
8.24,1.92,1.02,0.926,K0III,14.656506,0
8.54,1.94,0.91,1.618,M0III,14.979009,0
9.15,3.18,0.94,1.438,K2/K3III,16.662136,0
8.51,2.15,0.85,1.005,K0III,15.172193,0
7.68,1.99,1.05,1.491,K4III,14.174265,0
7.84,1.71,0.96,1.274,K2III,14.00498,0
7.24,1.96,0.57,1.39,K2IICNp...,13.701281,0
9.04,8.25,1.29,0.49,F5V,18.622269,1
7.28,11.96,0.84,0.446,F5V,17.668655,1
7.26,12.38,1.08,0.424,F3V,17.723602,1
8.8,2.23,1.04,1.004,K1III,15.541525,0
5.8,3.56,0.73,-0.095,B7III-IV,13.55725,1
8.99,6.21,1.28,0.548,F7V,17.955458,1
9.43,6.64,0.93,0.513,F6V,18.54084,1
8.74,10.58,1.17,0.524,F6/F7Vw...,18.862427,1
9.49,8.31,1.44,0.476,F6V,19.088005,1
7.31,6.95,0.65,1.068,K0III,16.519924,0
8.49,4.76,1.24,1.132,K1IV,16.878035,1
7.32,4.71,0.59,1.031,G8/K0III,15.685104,0
9.32,5.98,1.22,0.48,F3V,18.203506,1
9.67,6.22,1.19,0.491,F5V,18.638952,1
8.29,4.14,1.15,1.323,K2/K3III,16.375002,0
7.93,2.81,1.14,1.013,K0III,15.1735325,0
6.74,8.67,0.89,1.136,K0III,16.430096,0
9.12,5.66,1.08,0.427,F3/F5V,17.884083,1
8.56,-2.25,1.22,1.477,K3III,15.320913,0
6.25,16.16,0.96,0.526,F6/F7V,17.292206,1
10.01,17.3,1.52,1.075,K7V:,21.200232,1
9.04,6.97,1.22,0.989,K0III,18.256165,0
9.41,2.46,1.07,0.967,G6/G8III,16.364676,0
6.56,6.05,0.87,1.074,K0III,15.468777,0
9.49,16.32,0.99,0.739,G5V,20.5536,1
9.04,8.65,2.57,0.607,K1/2III: +F,18.725079,0
7.22,47.36,1.25,1.0,K2V,20.597057,1
8.78,-2.05,1.52,1.382,K2III/IV,15.338769,1
9.74,5.61,1.61,0.737,G3V,18.484814,1
8.33,2.81,1.11,1.099,K0III,15.573532,0
6.26,6.17,0.84,1.013,K1III,15.211426,0
8.4,1.36,1.11,1.305,K2/K3III,14.067695,0
7.33,10.92,0.64,0.444,F2V,17.521114,1
9.4,3.98,1.51,0.98,K0III,17.399414,0
9.71,19.82,2.27,1.036,K3V,21.195518,1
7.82,3.14,0.81,1.179,K2III,15.304648,0
7.57,34.73,3.83,0.702,G5/G6V,20.273523,1
8.61,3.02,0.79,1.024,K0III,16.010035,0
8.67,2.84,0.83,0.294,F0III,15.936592,0
8.97,1.69,1.44,1.349,K2III,15.109434,0
9.71,0.87,1.53,0.915,G8IV/V,14.407597,1
8.13,2.71,1.15,1.089,K0III,15.294847,0
10.3,0.63,1.67,0.254,F0/F2V,14.296703,1
11.25,-1.98,2.61,0.218,B2V,17.733326,1
9.12,12.28,1.24,0.662,G5V,19.56599,1
7.11,4.93,0.59,1.187,K1/K2III,15.574234,0
7.63,10.47,0.85,0.843,G8V,17.729733,1
8.65,7.24,1.88,0.476,F3/F5V,17.948692,1
7.93,3.04,0.75,1.399,K3III,15.344368,0
9.11,10.52,1.23,0.697,G6V,19.220078,1
6.94,0.22,0.78,0.059,B1III,8.652113,0
6.66,11.16,1.08,0.24,A9V,16.898321,1
2.86,45.74,0.55,0.29,F0V,16.161482,1
9.28,1.4,1.24,0.16,B8III,15.01064,0
10.06,3.8,1.02,0.716,F8IV/V,17.95892,1
6.82,0.24,0.88,1.874,M2.5II,8.721056,0
7.02,2.12,0.84,1.666,M1/M2III,13.65168,0
8.36,2.27,1.02,1.457,K2/K3III,15.140129,0
6.59,56.76,0.53,0.749,G6V,20.360212,1
8.67,2.52,1.1,1.157,K1III,15.677003,0
10.16,5.68,2.36,0.393,F5V,18.931742,1
7.14,4.48,0.84,1.01,G8III,15.396389,0
8.32,3.25,0.86,0.936,G6III,15.879416,0
8.47,4.6,1.02,1.136,K1III,16.78379,0
5.92,3.23,0.55,1.561,M0III,13.466013,0
8.19,2.95,0.66,0.073,A1V,15.53911,1
9.29,6.99,1.48,0.483,F3V,18.512386,1
9.32,6.33,1.03,0.454,F5V,18.327019,1
10.23,4.02,1.7,0.417,F2V,18.25113,1
8.55,1.38,1.06,1.212,K1IV/VCN...,14.249395,1
6.36,17.34,0.71,0.457,F4V,17.555244,1
6.33,8.56,0.68,1.21,K2III,15.992369,0
9.43,7.19,1.26,0.568,F7/F8V,18.713646,1
8.99,4.25,1.45,1.134,K0III,17.131945,0
8.74,6.25,1.07,0.556,F8IV,17.7194,1
9.26,5.4,1.5,1.238,K2/K3III:,17.921968,0
7.04,5.61,0.72,1.122,K0IIIp,15.784814,0
9.77,8.41,1.6,0.73,G3/G5V,19.39398,1
8.69,13.03,0.75,0.586,G1/G2V,19.26472,1
8.35,14.33,0.98,0.55,G0V,19.131231,1
6.14,6.65,0.66,0.998,K1IV,15.254108,1
9.85,1.1,1.55,0.74,G8IV/V,15.056964,1
9.58,4.92,1.34,0.593,F7/F8V,18.039825,1
9.41,7.62,1.21,0.692,G3V,18.819775,1
7.15,23.3,0.86,0.712,G6IV,18.986778,1
9.38,3.36,1.54,0.187,O8V,17.011696,1
7.26,10.48,0.6,0.962,G8/K0III,17.361807,0
8.35,0.65,1.02,0.515,B3Ib,12.414567,0
9.2,11.52,1.55,0.665,G3V,19.507263,1
7.64,5.93,0.95,0.056,A0/A1V,16.505274,1
8.41,3.88,2.01,0.486,F5V,16.354158,1
8.81,7.5,1.2,0.549,F7V,18.185307,1
8.75,1.62,1.07,0.756,G8IV,14.797575,1
7.53,4.28,0.87,1.129,K1III,15.68722,0
9.39,6.77,1.23,0.9,K0IV/V,18.542944,1
6.51,5.62,0.73,0.181,A2III,15.258682,0
8.35,1.68,0.84,1.29,K0III,14.476547,0
5.42,6.04,0.79,1.311,K1III,14.325185,0
8.66,4.01,1.06,0.391,F2V,16.675722,1
6.61,5.97,0.62,1.093,K1IIICN...,15.489872,0
8.64,1.44,1.37,1.397,K3III,14.431812,0
9.48,0.22,1.75,1.061,G8/K0III,11.192113,0
9.58,6.86,0.87,0.587,G2V,18.76162,1
8.09,1.53,0.71,1.083,K0III,14.013457,0
9.6,6.46,2.41,0.5,G2V,18.651163,1
10.1,3.94,1.55,0.573,F7/F8V+...,18.07748,1
7.46,4.15,0.66,1.072,K0/K1III,15.5502405,0
9.07,6.14,1.12,0.47,F5V,18.010841,1
5.69,7.76,1.11,-0.01,B9.5Vn,15.139309,1
9.87,16.93,1.06,0.954,K2III:,21.013285,0
9.43,10.6,0.93,0.588,G0V,19.55653,1
9.83,10.07,1.54,0.618,G5V,19.845146,1
6.92,1.47,0.61,1.571,M4III,12.756587,0
9.98,4.43,1.14,0.546,F8V,18.212019,1
8.34,4.09,1.16,1.14,K1III,16.398617,0
9.15,5.75,1.4,0.537,F5V,17.94834,1
7.49,0.65,0.67,1.645,M3III,11.554566,0
7.75,7.49,0.9,0.323,F0IV,17.12241,1
8.03,9.53,1.19,0.515,K0:III:+...,17.925465,0
8.69,1.49,1.25,1.147,K1III,14.555931,0
7.15,5.0,0.9,1.2,K3III,15.64485,0
8.94,7.97,1.03,0.676,G5VCN...,18.447292,1
8.92,-1.6,1.44,1.491,K3III,14.9406,0
9.14,2.93,1.38,1.08,K0III,16.474339,0
8.51,1.8,0.83,1.576,K3III,14.786363,0
7.53,-0.72,0.91,1.677,G5Ia,11.816663,0
7.09,2.16,0.77,0.137,B5II: SB,13.762269,0
9.44,1.74,1.35,1.007,K1/K2III,15.642746,0
7.71,5.48,0.85,0.085,A2V,16.403904,1
10.26,-1.75,2.55,0.101,A2V,16.475191,1
9.11,4.18,1.45,1.247,K2III,17.215881,0
8.52,3.71,1.19,1.175,K0III,16.36687,0
8.32,4.74,0.79,0.361,F0III,16.69889,0
6.97,5.66,0.78,1.163,K2IIICN...,15.734081,0
7.95,15.34,0.99,0.945,K1IV,18.879128,1
8.87,9.11,1.35,0.476,F5V,18.667591,1
6.93,0.65,0.66,0.24,B0.5III,10.994566,0
9.11,-0.74,1.29,0.473,B8Ib,13.456158,0
8.78,3.5,1.02,0.576,F6V,16.50034,1
8.01,2.89,1.07,0.912,G8III/IV,15.314489,1
5.2,17.62,0.86,0.271,A7III,16.43003,0
6.88,27.04,0.86,0.624,G2V,19.040035,1
9.4,9.99,1.31,0.598,G5V,19.397827,1
8.06,7.75,0.97,0.37,F0V,17.506508,1
8.37,3.17,1.14,1.326,K2III,15.875297,0
10.74,28.69,3.28,1.101,K8V:,23.028652,1
7.66,20.44,0.96,0.741,G5IV,19.212406,1
8.26,2.64,0.96,1.392,K2III,15.36802,0
5.43,4.88,0.8,1.64,M0/M1III,13.872099,0
9.21,12.92,1.39,0.662,G3V,19.766312,1
6.04,10.36,0.94,1.163,K1III,16.116798,0
6.6,8.06,0.74,-0.04,A0III,16.131676,0
7.39,0.79,0.73,1.564,M1III,11.878136,0
9.34,10.33,1.32,0.651,G3V,19.410501,1
5.67,10.02,0.71,1.119,K1III,15.674339,0
9.31,2.26,1.49,1.195,K1/K2III,16.080544,0
6.4,7.22,0.75,0.135,A3III,15.692686,0
6.72,8.31,0.9,1.176,K0/K1III,16.318005,0
4.49,27.91,0.56,0.164,A3IV,16.7188,1
5.41,9.28,0.65,0.022,A2Vs,15.24774,1
8.15,1.43,0.72,1.248,K2III,13.92668,0
9.56,13.56,1.04,0.665,G8V,20.221298,1
8.32,0.25,1.19,1.385,K2III,10.3097,0
8.73,5.51,0.84,0.563,F7IV,17.435757,1
7.2,3.12,0.91,1.673,M2III,14.670773,0
7.32,13.81,1.01,0.391,F3III/IV,18.02097,1
8.27,7.77,2.24,0.517,F6IV/V,17.722107,1
7.67,2.08,0.9,0.997,G8III,14.260317,0
9.05,4.72,0.91,0.491,F5V,17.41971,1
8.64,1.5,1.04,1.606,K5III,14.520456,0
6.86,1.79,0.81,0.047,B2IIIne+...,13.124266,0
8.29,2.67,1.02,0.061,B9III,15.422556,0
7.55,5.66,0.98,1.24,K1/K2III,16.314083,0
5.98,24.21,0.74,0.52,F7V,17.899975,1
8.3,0.33,1.19,1.08,K0III,10.8925705,0
6.95,8.7,0.85,0.561,F8IV,16.647594,1
9.64,5.79,1.32,0.519,F6V,18.453392,1
9.25,7.58,1.17,0.3,A3II/IIIp..,18.648346,0
7.72,8.2,1.03,0.416,F3V,17.289068,1
6.71,11.4,0.71,0.99,K1III,16.994524,0
5.41,5.94,0.73,1.226,K1III,14.278932,0
7.93,1.96,0.81,0.95,G8III,14.391281,0
5.77,9.4,0.78,-0.084,B9V,15.635639,1
8.25,9.81,1.21,0.448,F5V,18.208345,1
8.93,4.14,1.24,0.353,F0V,17.015003,1
8.78,9.04,1.83,0.9,K2III:,18.56084,0
5.93,12.45,0.74,0.141,A1V,16.405846,1
8.54,11.65,0.8,0.551,F7V,18.87163,1
8.31,6.85,1.0,0.436,F3V,17.488453,1
8.81,3.86,1.18,0.54,A5V,16.742937,1
6.4,6.85,0.66,0.995,K0II/IIICN,15.578453,0
5.49,4.8,0.63,1.615,M3III,13.896206,0
5.55,8.75,0.8,0.901,G5III,15.26004,0
9.77,8.84,1.65,0.775,G8/K0V,19.502262,1
6.05,27.51,0.86,0.447,F6Vawvar,18.247452,1
8.47,4.12,1.02,0.503,F5V,16.544487,1
9.21,7.57,1.28,0.574,F8/G0V,18.60548,1
8.97,20.86,2.16,0.807,G6/G8V,20.566574,1
9.16,5.46,1.02,0.889,G8/K0IV/V,17.845963,1
8.99,10.03,1.16,0.647,G2IV/V,18.996504,1
9.12,8.1,1.18,0.666,G3V,18.662426,1
7.84,3.22,0.69,1.03,K0III,15.37928,0
9.09,-1.8,1.56,0.644,B1.5Ia,15.366363,0
8.8,4.27,0.87,0.893,K0III,16.95214,0
8.62,5.81,1.9,1.007,K0III,17.44088,0
8.11,4.94,0.91,0.144,A2/A3V,16.578636,1
7.98,0.59,1.11,1.477,K3III,11.83426,0
9.09,4.62,1.08,0.362,F0V,17.41321,1
9.71,5.63,0.96,0.595,F6/F7V,18.462543,1
7.66,4.1,0.85,1.298,K4III,15.723919,0
9.15,0.17,1.13,1.47,K3/K4III:,10.302244,0
6.47,8.65,0.94,0.242,A4Vm,16.155079,1
7.32,5.85,0.97,1.064,K0III,16.155779,0
7.72,7.38,0.77,0.542,F6IV,17.060282,1
8.9,8.46,1.38,0.57,G0V,18.53685,1
7.98,3.78,1.05,1.061,K0III,15.867458,0
7.37,21.91,0.82,0.539,F7V,19.073212,1
7.6,4.67,0.87,1.1,K1III,15.946585,0
8.98,2.35,0.86,1.018,K0III,15.835339,0
7.93,4.37,0.77,0.964,K0III,16.132408,0
8.72,9.95,4.09,0.428,A9/F0V,18.709114,1
9.47,10.53,1.41,0.727,G5V,19.582142,1
8.5,7.31,1.14,0.469,F5V,17.819588,1
5.53,5.84,0.61,1.615,M2III,14.362064,0
8.58,16.89,1.41,0.648,G8/K0V:+...,19.718147,1
7.24,14.48,0.62,0.893,G8/K0IV,18.043842,1
8.87,0.58,1.07,0.889,F0Ia,12.6871395,0
3.95,20.12,0.56,-0.002,A2V,15.46814,1
9.09,8.34,1.18,0.503,F7V,18.695831,1
8.36,2.42,0.93,1.113,K1IIICN...,15.279077,0
8.14,1.66,1.0,1.18,K0III,14.2405405,0
8.79,7.79,0.91,0.88,K0IV/V,18.247688,1
5.39,13.86,0.61,0.9,G8III,16.098816,0
6.43,12.71,0.74,0.514,F7.5IV-V,16.950727,1
5.51,27.84,0.88,0.334,F0III-IV,17.733347,1
7.81,4.86,0.9,0.942,K0III,16.243181,0
9.22,4.29,0.87,0.627,G1IV,17.382286,1
9.04,4.36,1.15,0.515,F7V,17.237432,1
8.49,2.8,1.0,1.005,G8III,15.72579,0
9.0,5.6,1.24,0.457,F4V,17.74094,1
9.0,6.32,1.32,0.903,G8IV,18.003586,1
8.52,6.51,1.04,0.403,F2V,17.587906,1
7.08,2.45,0.73,1.61,M3III,14.02583,0
9.02,8.08,1.21,0.661,G5III,18.557056,0
8.16,11.86,1.23,0.495,F7V,18.530424,1
8.21,3.67,1.12,1.013,G8III,16.033329,0
6.46,10.15,0.49,0.107,A3V,16.492329,1
8.28,2.63,0.75,0.912,G6III,15.379778,0
6.38,15.0,0.72,0.307,F2IV,17.260456,1
8.81,5.36,1.04,1.13,K0/K1III,17.455826,0
5.32,10.26,0.57,-0.014,A0Vnn,15.375738,1
7.69,2.97,1.11,1.45,K4III,15.0537815,0
4.92,8.18,0.85,1.434,K3III,14.483767,0
8.17,2.8,0.98,1.11,K0III,15.40579,0
7.63,1.71,1.02,1.131,K0IIIp...,13.794981,0
8.2,12.24,1.76,0.501,F5V,18.638908,1
8.27,3.84,1.11,1.087,K0III,16.191658,0
9.13,6.73,1.26,0.526,F5V,18.270077,1
8.19,1.79,0.99,1.08,K1III,14.454265,0
8.09,8.42,0.83,0.453,F5V,17.71656,1
8.47,6.57,1.1,0.337,F0V,17.557827,1
7.17,3.49,0.6,1.626,M4III:,14.884128,0
7.73,6.03,0.72,0.33,A9IV,16.631586,1
7.84,14.21,1.19,0.654,G3/G5V,18.60297,1
7.56,6.04,0.64,1.105,K1III,16.465185,0
7.57,12.21,0.95,0.456,F2V,18.003578,1
6.81,12.5,0.66,0.471,F5IV/V,17.29455,1
8.8,10.59,1.28,0.537,F7V,18.92448,1
10.24,1.08,1.33,0.409,F5V,15.407119,1
9.39,7.99,1.25,0.605,G1V,18.902733,1
4.34,23.73,0.68,0.17,A7Vvar,16.216488,1
9.2,4.06,1.12,0.228,A5III,17.24263,0
7.84,0.69,1.08,1.195,G8III,12.0342455,0
8.38,2.3,1.11,1.298,K2III,15.188639,0
9.83,5.65,1.26,0.528,F5V,18.590242,1
9.59,1.12,1.45,0.76,B3II,14.83609,0
9.72,4.92,2.96,0.914,G8IV/V,18.179825,1
7.88,2.94,0.85,1.287,K2III,15.221737,0
10.49,32.06,2.18,1.226,K5V,23.019817,1
8.69,10.38,1.08,0.537,F8/G0V,18.770985,1
6.62,2.9,0.77,1.531,K5III,13.93199,0
9.23,8.23,0.88,0.633,F7V,18.807,1
8.94,4.65,1.15,1.532,M6III,17.277264,0
7.48,6.68,1.41,0.949,G8IV...,16.603882,1
8.7,2.05,1.29,1.091,K0IIICN...,15.258769,0
6.12,8.98,0.58,0.162,A5III,15.886382,0
8.51,22.51,1.49,0.73,G8III,20.271877,0
7.78,0.8,0.87,1.71,M1III,12.29545,0
